name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"alpha[17]",1.4,0.0027,0.23,0.96,1.3,1.8,7503,2382,1.0
"alpha[18]",1.2,0.034,0.17,0.95,1.3,1.5,24,7.8,1.0
"alpha[19]",1.3,0.0014,0.080,1.2,1.3,1.5,3336,1059,1.0
"alpha[20]",1.5,0.084,0.26,1.2,1.5,2.0,9.5,3.0,1.1
"alpha[21]",1.6,0.10,0.22,1.3,1.6,1.9,4.5,1.4,1.3
"alpha[22]",1.1,0.10,0.23,0.68,1.1,1.4,5.3,1.7,1.2
"alpha[23]",1.4,0.032,0.26,1.0,1.4,1.9,68,22,1.0
"alpha[24]",1.7,0.17,0.29,1.3,1.8,2.2,2.9,0.92,1.7
"alpha[25]",1.7,0.16,0.26,1.3,1.7,2.1,2.8,0.90,1.8
"alpha[26]",1.4,0.011,0.065,1.3,1.3,1.5,34,11,1.0
"alpha[27]",1.5,0.097,0.24,1.3,1.5,2.0,6.1,1.9,1.2
"alpha[28]",1.3,0.0022,0.21,0.98,1.3,1.7,9350,2968,1.0
"alpha[29]",1.3,0.0024,0.23,0.92,1.3,1.7,9092,2886,1.00
"alpha[30]",1.2,0.076,0.19,0.80,1.2,1.4,6.4,2.0,1.2
"alpha[31]",1.6,0.13,0.28,1.3,1.6,2.1,4.3,1.4,1.3
"alpha[32]",1.4,0.0026,0.21,1.00,1.3,1.7,6925,2199,1.0
"alpha[33]",1.6,0.13,0.28,1.3,1.6,2.1,4.6,1.5,1.3
"alpha[34]",1.5,0.056,0.25,1.1,1.4,1.9,19,6.1,1.1
"alpha[35]",1.1,0.080,0.21,0.76,1.2,1.4,7.3,2.3,1.2
"alpha[36]",1.7,0.18,0.35,1.3,1.8,2.3,3.7,1.2,1.4
"alpha[37]",0.92,0.17,0.29,0.47,0.88,1.4,3.0,0.94,1.7
"alpha[38]",1.6,0.10,0.26,1.2,1.5,2.0,6.6,2.1,1.2
"alpha[39]",1.5,0.090,0.24,1.3,1.5,2.0,6.8,2.2,1.2
"alpha[40]",1.7,0.16,0.32,1.3,1.7,2.2,3.7,1.2,1.4
"alpha[41]",1.7,0.14,0.26,1.3,1.7,2.1,3.4,1.1,1.5
"alpha[42]",1.4,0.034,0.28,0.97,1.4,1.9,70,22,1.0
"alpha[43]",1.5,0.070,0.20,1.2,1.5,1.8,8.3,2.6,1.1
"alpha[44]",1.2,0.033,0.20,0.88,1.3,1.6,35,11,1.0
"alpha[45]",1.3,0.0018,0.16,1.1,1.3,1.6,8368,2656,1.0
"alpha[46]",1.3,0.0023,0.21,0.97,1.3,1.7,8438,2679,1.00
"alpha[47]",1.3,0.0029,0.25,0.87,1.3,1.7,7378,2342,1.0
"alpha[48]",1.3,0.019,0.17,0.96,1.3,1.5,87,28,1.0
"alpha[49]",1.6,0.100,0.20,1.3,1.6,1.9,4.2,1.3,1.4
"alpha[50]",1.6,0.10,0.31,1.2,1.5,2.1,9.5,3.0,1.1
"alpha[51]",1.7,0.14,0.29,1.3,1.7,2.2,4.1,1.3,1.4
"alpha[52]",1.6,0.10,0.27,1.2,1.5,2.0,6.8,2.2,1.2
"alpha[53]",1.4,0.0038,0.24,0.97,1.3,1.8,3746,1189,1.0
"alpha[54]",1.3,0.0013,0.13,1.1,1.3,1.6,9371,2975,1.00
"alpha[55]",1.5,0.073,0.20,1.2,1.5,1.9,7.7,2.4,1.2
"alpha[56]",1.3,0.0029,0.23,0.91,1.3,1.7,6560,2083,1.00
"alpha[57]",1.1,0.082,0.23,0.72,1.2,1.4,7.9,2.5,1.1
"alpha[58]",1.6,0.10,0.26,1.3,1.5,2.0,6.4,2.0,1.2
"alpha[59]",1.5,0.082,0.24,1.2,1.5,2.0,8.9,2.8,1.1
"alpha[60]",1.4,0.017,0.24,1.0,1.4,1.8,202,64,1.0
"alpha[61]",1.2,0.041,0.12,1.0,1.3,1.4,8.5,2.7,1.1
"alpha[62]",1.6,0.13,0.27,1.3,1.6,2.1,4.5,1.4,1.3
"alpha[63]",1.5,0.069,0.25,1.1,1.4,1.9,13,4.2,1.1
"alpha[64]",1.6,0.13,0.24,1.3,1.6,2.0,3.5,1.1,1.5
"alpha[65]",1.4,0.018,0.26,0.97,1.4,1.8,203,64,1.0
"alpha[66]",1.5,0.090,0.19,1.3,1.5,1.9,4.6,1.5,1.3
"alpha[67]",1.6,0.12,0.22,1.3,1.6,2.0,3.4,1.1,1.5
"alpha[68]",1.3,0.025,0.18,0.93,1.3,1.5,50,16,1.0
"alpha[69]",1.4,0.0029,0.22,0.99,1.3,1.7,5411,1718,1.0
"alpha[70]",1.00,0.14,0.20,0.78,0.92,1.4,2.2,0.69,3.4
"alpha[71]",1.4,0.052,0.14,1.3,1.4,1.7,7.5,2.4,1.2
"alpha[72]",1.5,0.071,0.19,1.2,1.5,1.8,7.4,2.3,1.2
"alpha[73]",1.5,0.071,0.26,1.1,1.4,2.0,13,4.2,1.1
"alpha[74]",1.3,0.014,0.22,0.88,1.3,1.6,232,74,1.0
"alpha[75]",1.5,0.074,0.26,1.1,1.4,2.0,12,3.8,1.1
"alpha[76]",1.6,0.12,0.27,1.3,1.6,2.1,4.8,1.5,1.3
"alpha[77]",1.6,0.11,0.23,1.3,1.6,2.0,4.5,1.4,1.3
"alpha[78]",1.4,0.0028,0.20,1.0,1.3,1.7,5301,1683,1.0
"alpha[79]",1.1,0.080,0.25,0.69,1.2,1.5,9.9,3.2,1.1
"alpha[80]",1.3,0.0013,0.091,1.2,1.3,1.5,5182,1645,1.0
"alpha[81]",1.8,0.19,0.35,1.3,1.8,2.4,3.4,1.1,1.5
"alpha[82]",1.5,0.085,0.29,1.1,1.5,2.0,12,3.7,1.1
"alpha[83]",1.5,0.080,0.18,1.3,1.5,1.8,5.3,1.7,1.2
"alpha[84]",1.5,0.087,0.19,1.3,1.5,1.9,4.7,1.5,1.3
"alpha[85]",1.4,0.0038,0.25,0.95,1.3,1.8,4156,1319,1.0
"beta",-0.7,0.0,0.1,-0.8,-0.7,-0.5,11.2,3.5,1.1
"sigma",0.8,0.0,0.0,0.7,0.8,0.8,2.7,0.9,1.9
"y_rep[1]",0.54,0.014,0.79,-0.73,0.53,1.8,3188,1012,1.0
"y_rep[2]",1.2,0.013,0.82,-0.086,1.2,2.6,3815,1211,1.0
"y_rep[3]",1.2,0.013,0.79,-0.099,1.2,2.5,3614,1147,1.0
"y_rep[4]",1.2,0.013,0.81,-0.12,1.2,2.5,3816,1211,1.0
"y_rep[5]",1.0,0.096,0.80,-0.26,1.00,2.3,69,22,1.0
"y_rep[6]",1.0,0.13,0.80,-0.31,1.00,2.4,41,13,1.0
"y_rep[7]",1.0,0.10,0.82,-0.28,1.0,2.4,62,20,1.0
"y_rep[8]",1.0,0.11,0.80,-0.27,1.0,2.4,56,18,1.0
"y_rep[9]",1.0,0.12,0.78,-0.22,1.0,2.3,45,14,1.0
"y_rep[10]",1.0,0.12,0.78,-0.22,1.0,2.3,44,14,1.0
"y_rep[11]",1.0,0.10,0.78,-0.23,1.0,2.3,55,17,1.0
"y_rep[12]",1.0,0.12,0.79,-0.24,1.0,2.3,43,14,1.0
"y_rep[13]",1.0,0.088,0.79,-0.25,1.0,2.3,81,26,1.0
"y_rep[14]",1.0,0.11,0.80,-0.27,1.0,2.3,49,16,1.0
"y_rep[15]",1.0,0.12,0.82,-0.33,1.0,2.4,49,16,1.0
"y_rep[16]",1.0,0.11,0.79,-0.22,1.0,2.4,52,17,1.0
"y_rep[17]",1.0,0.12,0.79,-0.29,1.0,2.3,44,14,1.0
"y_rep[18]",1.0,0.11,0.80,-0.32,1.0,2.3,56,18,1.0
"y_rep[19]",1.0,0.11,0.80,-0.31,1.0,2.4,56,18,1.0
"y_rep[20]",1.0,0.096,0.80,-0.26,1.0,2.3,69,22,1.0
"y_rep[21]",1.0,0.11,0.80,-0.27,1.0,2.3,48,15,1.0
"y_rep[22]",1.0,0.11,0.81,-0.27,1.0,2.4,57,18,1.0
"y_rep[23]",1.0,0.12,0.80,-0.24,1.00,2.4,44,14,1.0
"y_rep[24]",1.0,0.11,0.79,-0.25,1.0,2.4,53,17,1.0
"y_rep[25]",1.0,0.071,0.80,-0.28,1.00,2.4,126,40,1.0
"y_rep[26]",1.0,0.12,0.80,-0.27,1.0,2.4,43,14,1.0
"y_rep[27]",1.0,0.11,0.80,-0.26,1.0,2.4,53,17,1.0
"y_rep[28]",1.0,0.10,0.81,-0.30,1.0,2.3,62,20,1.0
"y_rep[29]",1.0,0.084,0.79,-0.24,1.0,2.4,88,28,1.0
"y_rep[30]",1.0,0.10,0.79,-0.27,1.0,2.4,58,19,1.0
"y_rep[31]",1.0,0.11,0.81,-0.28,1.00,2.4,57,18,1.0
"y_rep[32]",1.0,0.11,0.80,-0.30,1.0,2.3,55,17,1.0
"y_rep[33]",1.0,0.14,0.81,-0.25,1.0,2.4,34,11,1.0
"y_rep[34]",1.0,0.10,0.79,-0.26,1.0,2.4,58,18,1.0
"y_rep[35]",1.0,0.097,0.79,-0.25,1.0,2.3,68,21,1.0
"y_rep[36]",1.0,0.099,0.80,-0.28,1.0,2.3,65,21,1.0
"y_rep[37]",1.0,0.088,0.80,-0.27,0.99,2.3,82,26,1.0
"y_rep[38]",1.0,0.095,0.79,-0.26,1.0,2.3,68,22,1.0
"y_rep[39]",1.0,0.094,0.80,-0.25,1.0,2.4,71,23,1.0
"y_rep[40]",1.0,0.11,0.80,-0.27,1.0,2.4,56,18,1.0
"y_rep[41]",1.0,0.12,0.79,-0.27,1.0,2.3,45,14,1.0
"y_rep[42]",1.0,0.10,0.79,-0.27,1.0,2.3,61,19,1.0
"y_rep[43]",1.1,0.10,0.80,-0.23,1.0,2.4,60,19,1.0
"y_rep[44]",0.35,0.13,0.80,-0.93,0.34,1.7,39,12,1.0
"y_rep[45]",0.36,0.16,0.81,-0.93,0.34,1.7,25,8.1,1.0
"y_rep[46]",1.0,0.081,0.78,-0.23,1.0,2.3,93,30,1.0
"y_rep[47]",0.36,0.12,0.82,-0.97,0.36,1.7,46,15,1.0
"y_rep[48]",1.0,0.13,0.79,-0.26,1.0,2.3,38,12,1.0
"y_rep[49]",1.0,0.13,0.82,-0.27,1.0,2.4,40,13,1.0
"y_rep[50]",1.0,0.11,0.80,-0.24,1.0,2.4,53,17,1.0
"y_rep[51]",1.0,0.10,0.80,-0.24,1.0,2.4,60,19,1.0
"y_rep[52]",1.0,0.11,0.78,-0.23,1.0,2.3,46,15,1.0
"y_rep[53]",1.0,0.11,0.80,-0.27,1.0,2.4,49,16,1.0
"y_rep[54]",1.0,0.10,0.81,-0.32,1.0,2.3,64,20,1.0
"y_rep[55]",1.0,0.091,0.81,-0.28,1.0,2.3,79,25,1.0
"y_rep[56]",1.0,0.11,0.80,-0.30,1.0,2.3,50,16,1.0
"y_rep[57]",0.76,0.013,0.83,-0.59,0.75,2.1,4164,1322,1.0
"y_rep[58]",1.4,0.014,0.82,0.065,1.5,2.8,3676,1167,1.0
"y_rep[59]",0.79,0.013,0.81,-0.55,0.81,2.1,3734,1185,1.0
"y_rep[60]",1.5,0.014,0.81,0.12,1.5,2.8,3173,1007,1.0
"y_rep[61]",1.5,0.015,0.81,0.13,1.5,2.8,3042,966,1.0
"y_rep[62]",1.5,0.013,0.81,0.12,1.5,2.8,3766,1196,1.0
"y_rep[63]",0.77,0.014,0.80,-0.56,0.77,2.1,3524,1119,1.0
"y_rep[64]",0.79,0.013,0.81,-0.56,0.79,2.1,4169,1324,1.00
"y_rep[65]",0.80,0.013,0.80,-0.52,0.79,2.1,4064,1290,1.0
"y_rep[66]",0.79,0.012,0.79,-0.53,0.79,2.1,4193,1331,1.0
"y_rep[67]",1.4,0.015,0.81,0.088,1.4,2.7,3025,960,1.0
"y_rep[68]",1.4,0.015,0.81,0.096,1.4,2.8,2980,946,1.0
"y_rep[69]",0.75,0.013,0.80,-0.57,0.75,2.1,3732,1185,1.0
"y_rep[70]",1.4,0.013,0.80,0.091,1.4,2.7,3542,1124,1.0
"y_rep[71]",1.5,0.014,0.81,0.11,1.4,2.8,3367,1069,1.0
"y_rep[72]",1.4,0.015,0.81,0.12,1.4,2.8,2874,912,1.0
"y_rep[73]",1.4,0.013,0.81,0.12,1.4,2.7,4132,1312,1.0
"y_rep[74]",1.7,0.17,0.84,0.30,1.7,3.1,25,7.8,1.0
"y_rep[75]",1.7,0.16,0.82,0.35,1.7,3.1,27,8.6,1.0
"y_rep[76]",1.7,0.16,0.82,0.40,1.8,3.1,26,8.2,1.0
"y_rep[77]",1.7,0.18,0.82,0.35,1.7,3.1,22,6.8,1.1
"y_rep[78]",1.7,0.15,0.81,0.41,1.7,3.1,28,8.8,1.0
"y_rep[79]",1.0,0.14,0.81,-0.29,1.1,2.4,33,10,1.0
"y_rep[80]",1.7,0.14,0.82,0.38,1.7,3.1,33,10,1.0
"y_rep[81]",1.7,0.15,0.82,0.38,1.7,3.1,32,10,1.0
"y_rep[82]",1.7,0.17,0.84,0.32,1.7,3.1,25,7.9,1.0
"y_rep[83]",1.1,0.16,0.81,-0.29,1.1,2.4,26,8.3,1.0
"y_rep[84]",1.7,0.17,0.83,0.35,1.7,3.1,23,7.4,1.0
"y_rep[85]",1.7,0.16,0.81,0.39,1.8,3.1,26,8.4,1.0
"y_rep[86]",1.7,0.16,0.83,0.38,1.7,3.1,28,9.0,1.0
"y_rep[87]",1.7,0.13,0.82,0.38,1.7,3.1,37,12,1.0
"y_rep[88]",0.93,0.034,0.82,-0.45,0.94,2.3,592,188,1.0
"y_rep[89]",1.6,0.079,0.84,0.19,1.6,3.0,113,36,1.0
"y_rep[90]",0.93,0.023,0.81,-0.38,0.92,2.3,1302,413,1.0
"y_rep[91]",1.6,0.089,0.83,0.26,1.6,3.0,85,27,1.0
"y_rep[92]",1.2,0.014,0.80,-0.064,1.2,2.6,3229,1025,1.0
"y_rep[93]",1.2,0.013,0.80,-0.077,1.2,2.5,3973,1261,1.0
"y_rep[94]",1.2,0.013,0.79,-0.062,1.2,2.5,3932,1248,1.0
"y_rep[95]",0.52,0.046,0.79,-0.77,0.52,1.8,303,96,1.0
"y_rep[96]",1.2,0.012,0.80,-0.12,1.2,2.5,4053,1287,1.0
"y_rep[97]",1.2,0.013,0.78,-0.097,1.2,2.5,3697,1174,1.0
"y_rep[98]",1.2,0.016,0.81,-0.19,1.2,2.5,2594,824,1.0
"y_rep[99]",1.2,0.016,0.79,-0.079,1.2,2.5,2425,770,1.0
"y_rep[100]",1.2,0.013,0.80,-0.14,1.2,2.5,4034,1281,1.0
"y_rep[101]",1.2,0.016,0.79,-0.074,1.2,2.5,2303,731,1.0
"y_rep[102]",1.5,0.013,0.81,0.13,1.5,2.8,3739,1187,1.0
"y_rep[103]",1.4,0.015,0.79,0.13,1.4,2.7,2914,925,1.0
"y_rep[104]",0.83,0.012,0.80,-0.50,0.85,2.1,4146,1316,1.0
"y_rep[105]",0.79,0.013,0.81,-0.56,0.81,2.1,3955,1255,1.0
"y_rep[106]",1.5,0.017,0.80,0.16,1.5,2.7,2307,732,1.0
"y_rep[107]",0.77,0.012,0.81,-0.58,0.76,2.1,4185,1329,1.0
"y_rep[108]",1.4,0.013,0.80,0.079,1.4,2.7,3904,1239,1.0
"y_rep[109]",1.4,0.013,0.79,0.070,1.4,2.7,3782,1201,1.0
"y_rep[110]",1.4,0.014,0.81,0.070,1.4,2.8,3447,1094,1.0
"y_rep[111]",1.4,0.013,0.80,0.080,1.4,2.7,3904,1239,1.0
"y_rep[112]",1.4,0.013,0.81,0.087,1.4,2.7,3653,1160,1.0
"y_rep[113]",1.5,0.014,0.81,0.19,1.5,2.8,3273,1039,1.0
"y_rep[114]",1.5,0.015,0.81,0.21,1.5,2.8,3113,988,1.0
"y_rep[115]",1.5,0.016,0.82,0.17,1.5,2.9,2468,783,1.0
"y_rep[116]",1.5,0.016,0.80,0.14,1.5,2.8,2467,783,1.0
"y_rep[117]",1.3,0.013,0.81,-0.0058,1.3,2.6,4059,1289,1.0
"y_rep[118]",1.3,0.012,0.80,-0.014,1.3,2.6,4128,1311,1.0
"y_rep[119]",1.3,0.013,0.80,-0.0052,1.3,2.6,3915,1243,1.0
"y_rep[120]",1.2,0.013,0.80,-0.055,1.3,2.5,3869,1228,1.0
"y_rep[121]",1.2,0.012,0.79,-0.071,1.3,2.6,4102,1302,1.0
"y_rep[122]",1.3,0.013,0.80,-0.048,1.2,2.6,3829,1215,1.0
"y_rep[123]",1.0,0.11,0.81,-0.33,1.0,2.3,56,18,1.0
"y_rep[124]",1.7,0.16,0.83,0.31,1.7,3.0,27,8.5,1.1
"y_rep[125]",1.7,0.17,0.82,0.33,1.7,3.0,23,7.3,1.0
"y_rep[126]",1.0,0.13,0.82,-0.38,1.0,2.4,38,12,1.0
"y_rep[127]",1.7,0.15,0.82,0.36,1.7,3.1,29,9.1,1.0
"y_rep[128]",1.7,0.14,0.81,0.37,1.7,3.0,32,10,1.0
"y_rep[129]",1.7,0.17,0.84,0.29,1.7,3.1,23,7.4,1.1
"y_rep[130]",1.7,0.17,0.82,0.36,1.7,3.0,24,7.7,1.0
"y_rep[131]",1.7,0.15,0.82,0.30,1.7,3.0,32,10,1.0
"y_rep[132]",1.0,0.13,0.81,-0.30,1.0,2.3,42,13,1.0
"y_rep[133]",1.7,0.15,0.82,0.36,1.7,3.0,31,9.9,1.0
"y_rep[134]",1.7,0.14,0.80,0.38,1.7,3.1,33,11,1.0
"y_rep[135]",1.7,0.16,0.84,0.35,1.7,3.1,27,8.6,1.0
"y_rep[136]",1.0,0.13,0.81,-0.30,1.0,2.4,37,12,1.0
"y_rep[137]",0.71,0.012,0.80,-0.61,0.72,2.0,4278,1358,1.00
"y_rep[138]",1.4,0.013,0.80,0.040,1.4,2.7,3839,1219,1.0
"y_rep[139]",0.70,0.012,0.79,-0.59,0.69,2.0,4131,1312,1.00
"y_rep[140]",1.4,0.012,0.79,0.075,1.4,2.7,4274,1357,1.0
"y_rep[141]",1.3,0.012,0.81,-0.049,1.3,2.6,4160,1321,1.0
"y_rep[142]",1.3,0.013,0.82,-0.087,1.3,2.6,4150,1317,1.0
"y_rep[143]",1.3,0.013,0.81,0.034,1.3,2.6,4009,1273,1.0
"y_rep[144]",0.69,0.013,0.81,-0.62,0.69,2.0,4037,1282,1.0
"y_rep[145]",0.68,0.012,0.80,-0.62,0.67,2.0,4250,1349,1.00
"y_rep[146]",0.70,0.013,0.81,-0.63,0.68,2.0,3842,1220,1.0
"y_rep[147]",1.2,0.012,0.80,-0.040,1.2,2.6,4247,1348,1.0
"y_rep[148]",1.2,0.013,0.80,-0.051,1.2,2.6,3987,1266,1.0
"y_rep[149]",0.58,0.014,0.81,-0.73,0.56,1.9,3337,1059,1.0
"y_rep[150]",1.2,0.012,0.80,-0.069,1.2,2.6,4147,1316,1.0
"y_rep[151]",1.2,0.013,0.79,-0.066,1.2,2.6,3805,1208,1.0
"y_rep[152]",1.3,0.013,0.79,-0.013,1.3,2.5,3842,1220,1.0
"y_rep[153]",1.2,0.012,0.78,-0.026,1.3,2.5,4087,1297,1.0
"y_rep[154]",1.3,0.012,0.79,-0.045,1.2,2.6,4111,1305,1.0
"y_rep[155]",0.57,0.013,0.79,-0.72,0.57,1.9,3825,1214,1.0
"y_rep[156]",0.57,0.016,0.80,-0.74,0.56,1.9,2523,801,1.0
"y_rep[157]",1.3,0.013,0.80,-0.065,1.3,2.6,3811,1210,1.0
"y_rep[158]",1.2,0.013,0.78,-0.025,1.2,2.5,3627,1151,1.0
"y_rep[159]",1.3,0.013,0.80,-0.0040,1.3,2.6,4037,1282,1.00
"y_rep[160]",1.3,0.012,0.78,0.083,1.3,2.6,4141,1315,1.00
"y_rep[161]",1.3,0.013,0.78,0.071,1.3,2.6,3608,1145,1.00
"y_rep[162]",1.4,0.012,0.78,0.11,1.4,2.7,4197,1332,1.0
"y_rep[163]",1.3,0.013,0.77,0.068,1.4,2.6,3642,1156,1.00
"y_rep[164]",1.3,0.013,0.78,0.057,1.3,2.6,3622,1150,1.0
"y_rep[165]",0.66,0.012,0.77,-0.59,0.66,1.9,3998,1269,1.0
"y_rep[166]",1.3,0.012,0.77,0.061,1.3,2.6,3910,1241,1.00
"y_rep[167]",0.68,0.013,0.76,-0.59,0.68,1.9,3368,1069,1.0
"y_rep[168]",1.4,0.013,0.80,0.042,1.4,2.7,3810,1209,1.00
"y_rep[169]",1.3,0.012,0.77,0.057,1.3,2.6,3895,1237,1.0
"y_rep[170]",1.3,0.012,0.78,0.053,1.3,2.6,3939,1251,1.0
"y_rep[171]",1.3,0.012,0.78,0.056,1.3,2.6,4111,1305,1.0
"y_rep[172]",1.3,0.013,0.77,0.051,1.3,2.6,3297,1047,1.00
"y_rep[173]",1.3,0.012,0.77,0.077,1.3,2.6,4196,1332,1.00
"y_rep[174]",0.67,0.014,0.79,-0.63,0.68,2.0,3181,1010,1.0
"y_rep[175]",1.4,0.012,0.78,0.069,1.4,2.6,4304,1366,1.00
"y_rep[176]",1.3,0.013,0.78,0.038,1.3,2.6,3781,1200,1.0
"y_rep[177]",1.3,0.013,0.79,0.037,1.3,2.7,3905,1240,1.0
"y_rep[178]",1.3,0.012,0.77,0.071,1.3,2.6,4042,1283,1.00
"y_rep[179]",1.3,0.012,0.77,0.074,1.3,2.6,4010,1273,1.0
"y_rep[180]",1.3,0.013,0.79,0.073,1.3,2.6,3877,1231,1.00
"y_rep[181]",1.3,0.012,0.77,0.051,1.3,2.6,4146,1316,1.00
"y_rep[182]",1.3,0.012,0.77,0.044,1.3,2.6,3992,1267,1.00
"y_rep[183]",1.3,0.012,0.79,0.035,1.4,2.7,4052,1286,1.0
"y_rep[184]",1.4,0.012,0.76,0.090,1.4,2.6,3788,1203,1.0
"y_rep[185]",1.3,0.012,0.80,0.026,1.3,2.6,4201,1334,1.0
"y_rep[186]",1.4,0.012,0.78,0.055,1.4,2.6,4000,1270,1.00
"y_rep[187]",1.3,0.013,0.78,0.057,1.3,2.6,3610,1146,1.00
"y_rep[188]",1.3,0.012,0.78,0.074,1.3,2.6,4126,1310,1.00
"y_rep[189]",1.4,0.012,0.78,0.060,1.4,2.6,4029,1279,1.00
"y_rep[190]",1.3,0.013,0.79,-0.0077,1.3,2.6,3601,1143,1.0
"y_rep[191]",1.3,0.013,0.79,0.064,1.3,2.7,3912,1242,1.0
"y_rep[192]",1.4,0.012,0.78,0.070,1.4,2.7,3942,1252,1.0
"y_rep[193]",1.4,0.012,0.78,0.057,1.4,2.6,3998,1269,1.00
"y_rep[194]",1.3,0.013,0.78,0.040,1.3,2.6,3545,1125,1.0
"y_rep[195]",1.3,0.012,0.79,0.022,1.3,2.6,4031,1280,1.00
"y_rep[196]",1.4,0.013,0.77,0.10,1.4,2.6,3660,1162,1.0
"y_rep[197]",1.3,0.012,0.78,0.043,1.3,2.6,4017,1275,1.00
"y_rep[198]",1.4,0.012,0.77,0.069,1.4,2.6,3834,1217,1.0
"y_rep[199]",1.3,0.012,0.79,0.041,1.3,2.6,3980,1263,1.0
"y_rep[200]",1.3,0.013,0.78,0.085,1.3,2.6,3727,1183,1.00
"y_rep[201]",1.3,0.012,0.77,0.086,1.3,2.6,4113,1306,1.00
"y_rep[202]",1.3,0.013,0.76,0.052,1.4,2.6,3300,1048,1.0
"y_rep[203]",1.3,0.012,0.78,0.052,1.3,2.6,4153,1318,1.0
"y_rep[204]",1.3,0.013,0.79,0.075,1.3,2.6,3785,1201,1.0
"y_rep[205]",1.4,0.013,0.77,0.091,1.4,2.6,3756,1192,1.0
"y_rep[206]",1.3,0.012,0.78,0.072,1.3,2.6,4261,1353,1.00
"y_rep[207]",1.3,0.013,0.79,0.013,1.3,2.6,3524,1119,1.00
"y_rep[208]",1.4,0.013,0.79,0.076,1.4,2.7,3600,1143,1.00
"y_rep[209]",1.3,0.013,0.79,0.031,1.3,2.6,3975,1262,1.0
"y_rep[210]",1.3,0.013,0.80,0.022,1.3,2.6,4055,1287,1.00
"y_rep[211]",1.3,0.012,0.78,0.048,1.3,2.6,4024,1277,1.0
"y_rep[212]",1.3,0.012,0.77,0.052,1.4,2.6,4132,1312,1.0
"y_rep[213]",0.65,0.012,0.78,-0.63,0.66,1.9,3989,1266,1.0
"y_rep[214]",1.3,0.012,0.78,0.069,1.3,2.6,4166,1323,1.00
"y_rep[215]",1.3,0.012,0.76,0.087,1.3,2.6,3727,1183,1.0
"y_rep[216]",1.3,0.012,0.78,0.060,1.3,2.6,4201,1334,1.0
"y_rep[217]",1.3,0.012,0.79,0.025,1.3,2.6,3994,1268,1.0
"y_rep[218]",1.4,0.012,0.78,0.070,1.4,2.6,4100,1302,1.0
"y_rep[219]",1.3,0.013,0.78,0.080,1.3,2.6,3880,1232,1.00
"y_rep[220]",1.3,0.013,0.77,0.051,1.3,2.6,3785,1202,1.00
"y_rep[221]",1.3,0.012,0.79,0.0047,1.4,2.6,4171,1324,1.00
"y_rep[222]",1.5,0.065,0.81,0.17,1.5,2.8,156,50,1.0
"y_rep[223]",1.5,0.017,0.82,0.18,1.5,2.9,2401,762,1.0
"y_rep[224]",1.5,0.018,0.83,0.15,1.5,2.9,2212,702,1.0
"y_rep[225]",1.6,0.068,0.81,0.23,1.5,2.9,140,44,1.0
"y_rep[226]",1.6,0.077,0.81,0.22,1.6,2.9,113,36,1.0
"y_rep[227]",1.5,0.070,0.80,0.23,1.6,2.8,131,42,1.0
