# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cp_model
# start_datetime = 2022-10-21 18:49:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_data_2.json
# init = 2 (Default)
# random
#   seed = 51049207 (Default)
# output
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-63-g1ae9de8f
# stancflags = --warn-pedantic --O1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
-280.398,0.920517,0.69904,3,7,0,283.57,1.33601,-0.522889,0.819354
-280.003,0.981004,0.69904,2,7,0,281.514,1.35807,-0.667175,0.834553
-280.731,0.858363,0.69904,3,7,0,281.91,1.37251,-0.611649,0.815484
-281.558,0.958881,0.69904,3,7,0,282.427,1.26952,-0.583977,0.841705
-280.62,1,0.69904,3,7,0,281.989,1.32416,-0.52352,0.843471
-279.665,0.994425,0.69904,2,3,0,280.726,1.30693,-0.639341,0.821415
-279.812,0.84091,0.69904,1,3,0,281.358,1.32523,-0.545059,0.83131
-280.421,0.937348,0.69904,2,7,0,280.736,1.30745,-0.659391,0.842803
-280.096,0.852066,0.69904,2,7,0,281.829,1.34351,-0.592536,0.843394
-279.502,0.957658,0.69904,3,7,0,280.925,1.34837,-0.639753,0.817668
-279.453,0.998707,0.69904,3,7,0,279.65,1.31931,-0.626235,0.833549
-280.195,0.929005,0.69904,2,3,0,280.362,1.3375,-0.534706,0.819069
-279.496,1,0.69904,2,3,0,280.302,1.32075,-0.616119,0.836277
-279.424,0.996477,0.69904,3,7,0,279.69,1.31871,-0.599159,0.810817
-280.498,0.900928,0.69904,2,3,0,280.757,1.27927,-0.573796,0.820372
-280.045,1,0.69904,2,3,0,280.723,1.31193,-0.521579,0.817042
-280.193,0.996841,0.69904,2,3,0,280.54,1.28715,-0.565771,0.814672
-280.373,1,0.69904,2,3,0,280.544,1.28496,-0.536469,0.817647
-280.615,0.932457,0.69904,2,7,0,281.929,1.31302,-0.53769,0.848593
-280.52,0.975856,0.69904,2,3,0,281.333,1.30171,-0.519103,0.840841
-280.315,0.996401,0.69904,3,7,0,281.261,1.36873,-0.6642,0.814324
-281.365,0.896029,0.69904,3,7,0,282.381,1.3684,-0.632598,0.85269
-281.955,0.961033,0.69904,2,3,0,282.944,1.33149,-0.728085,0.856256
-280.984,0.953355,0.69904,3,7,0,283.443,1.32397,-0.514487,0.800377
-280.895,0.989245,0.69904,3,7,0,281.8,1.28911,-0.634531,0.842781
-279.552,1,0.69904,3,7,0,280.78,1.3148,-0.557683,0.828511
-281.996,0.722435,0.69904,3,7,0,283.896,1.38974,-0.741356,0.817234
-281.316,0.971148,0.69904,3,7,0,282.728,1.28454,-0.472371,0.825283
-280.972,0.995352,0.69904,3,7,0,282.134,1.36687,-0.732903,0.813316
-279.943,1,0.69904,2,7,0,281.192,1.31182,-0.554106,0.839693
-283.192,0.728132,0.69904,2,3,0,283.629,1.32997,-0.446665,0.848792
-285.872,0.74598,0.69904,2,3,0,287.7,1.25103,-0.708092,0.816562
-280.02,1,0.69904,2,7,0,285.241,1.35213,-0.607851,0.838712
-279.671,1,0.69904,3,7,0,280.108,1.32121,-0.547912,0.816897
-282.076,0.698523,0.69904,2,3,0,282.57,1.35587,-0.504006,0.811677
-281.668,0.999264,0.69904,3,7,0,283.363,1.36862,-0.59972,0.85299
-280.641,1,0.69904,2,3,0,282.233,1.33337,-0.650313,0.85429
-279.432,0.926893,0.69904,2,3,0,281.752,1.32841,-0.624022,0.834943
-279.275,0.98245,0.69904,3,7,0,279.718,1.33218,-0.635295,0.826323
-281.618,0.838645,0.69904,2,3,0,282.233,1.27997,-0.47453,0.837028
-281.797,0.98727,0.69904,2,7,0,282.288,1.26435,-0.494309,0.829169
-281.889,0.978365,0.69904,2,7,0,282.668,1.26295,-0.536738,0.840941
-280.28,0.998914,0.69904,2,7,0,282.07,1.35601,-0.621384,0.803061
-279.577,1,0.69904,2,3,0,280.569,1.30832,-0.631994,0.818091
-280.782,0.930381,0.69904,2,3,0,281.101,1.29565,-0.494083,0.834088
-281.046,0.885464,0.69904,2,7,0,282.467,1.29219,-0.676926,0.816112
-280.785,0.918808,0.69904,2,3,0,282.92,1.28689,-0.56708,0.801086
-282.761,0.674159,0.69904,2,3,0,284.254,1.30388,-0.444827,0.799856
-280.33,1,0.69904,2,3,0,282.937,1.32155,-0.707053,0.820934
-280.477,0.965006,0.69904,1,1,0,280.662,1.31733,-0.707851,0.821808
-279.595,0.979033,0.69904,3,7,0,281.278,1.30471,-0.610227,0.829946
-281.457,0.855133,0.69904,2,3,0,281.982,1.35142,-0.611574,0.787117
-280.279,1,0.69904,2,3,0,281.722,1.3296,-0.586768,0.796179
-279.96,0.903931,0.69904,2,7,0,282.051,1.34446,-0.686349,0.809664
-281.339,0.813902,0.69904,2,5,0,282.11,1.31698,-0.52128,0.855015
-281.316,0.939517,0.69904,3,7,0,283.909,1.31989,-0.703111,0.796264
-281.556,1,0.69904,3,7,0,282.794,1.31034,-0.457412,0.824808
-280.837,1,0.69904,3,7,0,281.744,1.37922,-0.690676,0.821528
-280.115,1,0.69904,2,7,0,281.272,1.29075,-0.585368,0.811725
-280.052,0.999856,0.69904,3,7,0,280.709,1.36343,-0.672123,0.827646
-280.244,0.919392,0.69904,3,7,0,281.179,1.28587,-0.601343,0.823416
-279.484,0.779454,0.69904,2,3,0,282.644,1.33505,-0.597746,0.810963
-283.057,0.735136,0.69904,2,3,0,283.565,1.35172,-0.680362,0.874525
-279.641,0.9871,0.69904,2,3,0,283.561,1.35236,-0.647973,0.816084
-280.74,0.902983,0.69904,2,3,0,281.259,1.34886,-0.688877,0.849663
-279.836,0.975899,0.69904,2,7,0,281.713,1.29984,-0.621532,0.81483
-280.97,0.949835,0.69904,2,3,0,281.332,1.28983,-0.489862,0.813243
-280.149,0.966158,0.69904,2,7,0,281.859,1.31869,-0.516007,0.825087
-280.891,0.944244,0.69904,3,7,0,282.257,1.32356,-0.522324,0.799099
-281.218,0.933857,0.69904,2,7,0,282.9,1.30551,-0.616279,0.859042
-280.942,0.982954,0.69904,3,7,0,282.21,1.34803,-0.593516,0.854347
-279.752,0.982551,0.69904,2,7,0,281.468,1.32123,-0.543182,0.829121
-281.626,0.746816,0.69904,2,3,0,283.84,1.29769,-0.480461,0.801031
-283.194,0.815513,0.69904,3,7,0,286.197,1.40465,-0.741744,0.840045
-283.532,0.839022,0.69904,2,5,0,286.733,1.24781,-0.523934,0.80155
-282.305,1,0.69904,3,7,0,284.502,1.39593,-0.72917,0.835511
-279.242,1,0.69904,2,7,0,282.24,1.3336,-0.629775,0.822839
-282.691,0.607269,0.69904,3,7,0,284.793,1.27658,-0.572143,0.863963
-282,1,0.69904,1,1,0,282.757,1.2863,-0.578327,0.86152
-280.768,0.998235,0.69904,2,3,0,282.266,1.30296,-0.53553,0.849356
-281.936,0.846455,0.69904,2,7,0,283.928,1.34808,-0.5327,0.793399
-279.841,1,0.69904,3,7,0,282.363,1.34713,-0.575535,0.819042
-280.202,0.985294,0.69904,2,3,0,280.387,1.31965,-0.687911,0.81036
-279.484,0.936757,0.69904,3,7,0,282.366,1.32425,-0.561428,0.822337
-279.272,0.996074,0.69904,2,3,0,279.543,1.32602,-0.593003,0.826351
-280.192,0.933057,0.69904,3,7,0,280.499,1.34279,-0.682227,0.84266
-280.097,0.99611,0.69904,3,7,0,280.535,1.35427,-0.641824,0.841348
-281.265,0.885054,0.69904,3,7,0,282.404,1.28979,-0.622506,0.795988
-280.04,0.994406,0.69904,3,7,0,282.309,1.35345,-0.636744,0.840637
-280.778,0.968908,0.69904,2,3,0,280.973,1.3606,-0.675509,0.84824
-281.308,0.867556,0.69904,2,3,0,283.454,1.36536,-0.757661,0.824845
-281.83,0.994859,0.69904,3,7,0,282.158,1.37004,-0.766447,0.836812
-279.419,0.99291,0.69904,2,3,0,281.987,1.31684,-0.57179,0.816488
-279.436,0.84645,0.69904,3,7,0,282.265,1.32511,-0.651035,0.815937
-279.908,0.918815,0.69904,3,7,0,280.737,1.33144,-0.556425,0.836598
-282.272,0.845702,0.69904,2,3,0,283.042,1.2845,-0.51284,0.789427
-282.695,0.907524,0.69904,2,7,0,284.979,1.37662,-0.687838,0.863597
-282.263,1,0.69904,3,7,0,284.384,1.27664,-0.453485,0.810417
-280.942,0.943492,0.69904,2,3,0,283.2,1.30767,-0.484978,0.812074
-279.275,1,0.69904,2,3,0,280.831,1.32005,-0.593466,0.817852
-279.737,0.935021,0.69904,3,7,0,280.512,1.35559,-0.665079,0.821219
-279.737,0.858065,0.69904,2,3,0,280.746,1.35559,-0.665079,0.821219
-279.564,0.986368,0.69904,2,7,0,280.067,1.31575,-0.648975,0.816621
-279.885,0.993431,0.69904,2,7,0,279.965,1.35838,-0.634061,0.831343
-279.671,0.993981,0.69904,3,7,0,280.337,1.3108,-0.625133,0.835702
-279.645,1,0.69904,3,7,0,279.751,1.34337,-0.621046,0.80825
-279.895,0.963947,0.69904,2,7,0,280.443,1.34877,-0.620242,0.839643
-280.35,0.959396,0.69904,3,7,0,280.76,1.29693,-0.610901,0.802777
-281.222,0.968708,0.69904,2,7,0,281.964,1.37822,-0.692712,0.841727
-280.489,0.987078,0.69904,3,7,0,282.204,1.33732,-0.589392,0.851432
-282.012,0.879456,0.69904,3,7,0,283.758,1.38953,-0.69162,0.804332
-281.172,0.94094,0.69904,3,7,0,285.302,1.26829,-0.558295,0.828914
-281.076,1,0.69904,2,3,0,281.499,1.27273,-0.566877,0.8364
-280.326,0.864627,0.69904,2,5,0,282.618,1.3047,-0.676271,0.827939
-280.532,0.735372,0.69904,1,3,0,284.877,1.31274,-0.546195,0.797464
-281.328,0.969921,0.69904,3,7,0,281.995,1.29979,-0.569305,0.85901
-280.221,0.964977,0.69904,3,7,0,282.591,1.35601,-0.648705,0.803229
-283.591,0.612163,0.69904,2,3,0,284.611,1.2763,-0.66781,0.790204
-279.275,0.880507,0.69904,2,3,0,286.264,1.33367,-0.639968,0.822122
-281.749,0.765467,0.69904,3,7,0,284.087,1.27068,-0.497506,0.840767
-280.643,0.894566,0.69904,2,3,0,283.835,1.29698,-0.492655,0.82467
-279.445,1,0.69904,2,3,0,280.931,1.32979,-0.603053,0.834908
-280.96,0.826073,0.69904,2,7,0,282.949,1.30761,-0.488308,0.838065
-281.106,1,0.69904,3,7,0,281.661,1.38381,-0.692759,0.822105
-281.36,0.950895,0.69904,3,7,0,283.02,1.28674,-0.474606,0.813555
-280.559,0.913056,0.69904,2,7,0,282.651,1.33454,-0.515853,0.830366
-280.357,0.993616,0.69904,3,7,0,281.006,1.3046,-0.665628,0.8367
-280.485,0.881357,0.69904,2,3,0,281.987,1.3056,-0.684485,0.830266
-280.882,0.938204,0.69904,3,7,0,282.395,1.35855,-0.740765,0.816244
-279.934,0.989375,0.69904,3,7,0,281.73,1.29301,-0.566513,0.81577
-279.477,0.995479,0.69904,3,7,0,280.295,1.33707,-0.594998,0.812992
-280.064,0.964732,0.69904,2,3,0,280.242,1.30233,-0.584996,0.803235
-280.477,0.979025,0.69904,3,7,0,280.792,1.33716,-0.675076,0.849108
-281.005,0.977281,0.69904,2,3,0,281.24,1.35331,-0.658226,0.855264
-279.821,0.946295,0.69904,3,7,0,284.398,1.34101,-0.634736,0.80349
-281.163,0.907919,0.69904,2,7,0,281.781,1.29354,-0.569304,0.792446
-280.414,0.996879,0.69904,2,3,0,281.745,1.32463,-0.572644,0.795379
-281.787,0.764762,0.69904,2,3,0,282.659,1.29093,-0.674145,0.79993
-280.671,1,0.69904,3,7,0,282.158,1.31821,-0.712025,0.833145
-279.294,0.977617,0.69904,2,7,0,281.45,1.31626,-0.617612,0.823791
-281.008,0.826142,0.69904,2,3,0,281.047,1.35986,-0.551192,0.834507
-281.372,0.977488,0.69904,3,7,0,282.477,1.32612,-0.74571,0.81277
-280.53,0.906525,0.69904,2,3,0,283.105,1.34399,-0.549354,0.805846
-279.49,0.995159,0.69904,3,7,0,280.651,1.331,-0.621301,0.808138
-283.287,0.538983,0.69904,3,7,0,287.861,1.35001,-0.467177,0.845719
-281.592,0.912693,0.69904,2,3,0,285.171,1.31353,-0.484631,0.848185
-283.637,0.883143,0.69904,2,3,0,285.031,1.27105,-0.405384,0.833313
-280.056,0.718444,0.69904,3,7,0,287.988,1.29706,-0.548736,0.810279
-280.071,0.99199,0.69904,2,3,0,280.509,1.29428,-0.532247,0.824175
-279.443,0.800547,0.69904,2,5,0,284.321,1.33778,-0.663134,0.822717
-280.462,0.938786,0.69904,3,7,0,280.628,1.33596,-0.665807,0.850249
-280.144,0.996278,0.69904,3,7,0,281.135,1.35819,-0.642475,0.80619
-279.448,0.960575,0.69904,2,3,0,280.852,1.32813,-0.653893,0.815164
-279.945,0.967331,0.69904,3,7,0,280.44,1.35888,-0.65951,0.812832
-281.434,0.896046,0.69904,2,3,0,281.721,1.36335,-0.70372,0.794861
-279.993,0.848288,0.69904,2,7,0,283.312,1.33576,-0.588099,0.843947
-279.704,0.897903,0.69904,2,7,0,281.486,1.34932,-0.66468,0.813223
-279.39,0.884983,0.69904,1,3,0,281.458,1.32254,-0.619374,0.833261
-279.368,0.974913,0.69904,2,3,0,279.77,1.33243,-0.614405,0.832534
-281.033,0.871358,0.69904,2,3,0,281.114,1.35748,-0.643133,0.854488
-279.619,1,0.69904,2,3,0,281.344,1.32526,-0.670571,0.81822
-279.741,0.829704,0.69904,2,3,0,281.808,1.33012,-0.548324,0.821976
-279.503,0.994276,0.69904,2,3,0,279.878,1.31578,-0.643845,0.817209
-279.996,0.835516,0.69904,2,3,0,281.196,1.34074,-0.553585,0.8159
-282.527,0.773714,0.69904,2,3,0,283.624,1.37007,-0.520507,0.836328
-279.746,1,0.69904,2,3,0,282.315,1.31067,-0.633897,0.809168
-280.988,0.791993,0.69904,2,3,0,282.095,1.28869,-0.667744,0.824513
-280.62,0.960318,0.69904,2,7,0,282.62,1.31256,-0.664647,0.847846
-280.583,0.844394,0.69904,2,3,0,283.41,1.35694,-0.656926,0.848179
-281.679,0.864473,0.69904,2,3,0,282.622,1.35549,-0.575362,0.85746
-280.076,0.951323,0.69904,2,7,0,282.942,1.31028,-0.599911,0.845809
-280.627,0.93395,0.69904,2,7,0,281.772,1.32172,-0.615139,0.791017
-280.085,0.953777,0.69904,3,7,0,281.877,1.35723,-0.691921,0.831217
-279.918,1,0.69904,3,7,0,280.227,1.3554,-0.688968,0.822712
-279.653,0.969779,0.69904,2,3,0,280.548,1.34889,-0.663159,0.83045
-279.535,0.999141,0.69904,3,7,0,279.807,1.31267,-0.579604,0.811043
-280.314,0.900828,0.69904,3,7,0,281.285,1.3324,-0.669021,0.847437
-279.868,0.988069,0.69904,3,7,0,281.111,1.36073,-0.639516,0.82413
-279.534,1,0.69904,2,7,0,279.892,1.30497,-0.610445,0.818491
-281.631,0.721553,0.69904,1,3,0,284.083,1.28713,-0.480693,0.803852
-280.889,1,0.69904,3,7,0,282.495,1.28182,-0.537083,0.841435
-281.076,0.932331,0.69904,2,3,0,282.115,1.29032,-0.592953,0.852041
-282.482,0.844287,0.69904,3,7,0,283.413,1.37374,-0.569952,0.796287
-280.389,0.988383,0.69904,3,7,0,283.342,1.3278,-0.517487,0.813712
-280.129,1,0.69904,2,3,0,280.638,1.29311,-0.624248,0.829648
-279.576,1,0.69904,2,3,0,280.275,1.34147,-0.592733,0.813536
-280.124,0.926036,0.69904,2,7,0,280.821,1.31939,-0.517569,0.821058
-281.707,0.876416,0.69904,2,3,0,281.835,1.33901,-0.479341,0.823578
-279.449,0.967645,0.69904,2,3,0,282.132,1.337,-0.590511,0.815638
-282.199,0.823515,0.69904,2,3,0,282.751,1.38549,-0.748067,0.807674
-280.055,0.966384,0.69904,2,7,0,284.171,1.29113,-0.556821,0.81506
-280.373,0.939177,0.69904,2,3,0,280.923,1.28769,-0.570342,0.80817
-280.349,0.968593,0.69904,3,7,0,281.279,1.28292,-0.564479,0.829552
-281.879,0.761576,0.69904,2,3,0,284.178,1.30434,-0.516409,0.788174
-280.886,0.881024,0.69904,3,7,0,284.964,1.27461,-0.554077,0.833743
-282.154,0.872056,0.69904,2,3,0,283.343,1.28755,-0.601765,0.862891
-281.201,1,0.69904,3,7,0,282.852,1.31726,-0.504363,0.799094
-281.304,0.98874,0.69904,2,3,0,281.635,1.32378,-0.511041,0.796976
-280.013,0.859007,0.69904,3,7,0,283.893,1.3457,-0.70144,0.815872
-279.82,0.946768,0.69904,3,7,0,281.22,1.2976,-0.552051,0.819053
-279.511,0.997901,0.69904,3,7,0,279.984,1.3252,-0.563668,0.828005
-280.196,0.934444,0.69904,2,3,0,280.405,1.31235,-0.686969,0.823076
-280.729,0.980609,0.69904,2,7,0,281.146,1.33817,-0.543091,0.800731
-280.367,1,0.69904,2,3,0,281.141,1.34445,-0.545131,0.81262
-279.462,0.999633,0.69904,2,7,0,280.521,1.33591,-0.648175,0.832344
-279.717,0.979004,0.69904,3,7,0,280.246,1.3021,-0.553161,0.818213
-279.644,0.996921,0.69904,3,7,0,279.909,1.30252,-0.568991,0.815754
-280.585,0.916334,0.69904,2,7,0,281.798,1.36146,-0.725878,0.826781
-280.765,0.989172,0.69904,3,7,0,281.313,1.37773,-0.692522,0.82455
-280.287,0.930297,0.69904,2,7,0,282.283,1.33964,-0.549337,0.838384
-280.859,0.870813,0.69904,2,7,0,282.33,1.37444,-0.617352,0.834199
-279.88,0.971832,0.69904,3,7,0,283.249,1.30149,-0.613055,0.809283
-280.046,0.911999,0.69904,2,3,0,281.378,1.3298,-0.566267,0.802639
-279.789,0.969137,0.69904,2,7,0,280.836,1.32836,-0.68432,0.817195
-279.487,0.876203,0.69904,2,3,0,281.122,1.34898,-0.63985,0.821786
-280.082,0.944304,0.69904,3,7,0,280.5,1.32474,-0.563518,0.801502
-280.032,0.943613,0.69904,2,5,0,281.096,1.32961,-0.630079,0.847066
-280.582,0.910571,0.69904,3,7,0,282.802,1.28836,-0.514411,0.813577
-280.879,0.897548,0.69904,3,7,0,283.138,1.37618,-0.712265,0.820087
-279.644,0.994723,0.69904,2,7,0,280.996,1.32874,-0.676766,0.825448
-280.718,0.908944,0.69904,2,3,0,281.143,1.34909,-0.737881,0.829723
-280.796,0.980413,0.69904,3,7,0,281.999,1.2961,-0.50556,0.80659
-283.126,0.723137,0.69904,2,7,0,284.908,1.28672,-0.732124,0.814163
-280.354,1,0.69904,2,3,0,282.844,1.29802,-0.652472,0.812157
-280.315,0.994895,0.69904,2,7,0,280.973,1.33842,-0.579943,0.798659
-279.808,0.967256,0.69904,3,7,0,281.352,1.31215,-0.633349,0.838642
-280.684,0.877567,0.69904,3,7,0,282.859,1.28745,-0.604621,0.842607
-280.196,0.89357,0.69904,2,7,0,283.433,1.29269,-0.573881,0.807323
-280.113,0.755347,0.69904,2,7,0,282.956,1.34999,-0.570371,0.831789
-279.648,0.855612,0.69904,1,3,0,281.715,1.31334,-0.65275,0.826991
-280.281,0.931472,0.69904,3,7,0,280.928,1.28809,-0.578237,0.836077
-280.246,0.969791,0.69904,3,7,0,281.051,1.33504,-0.557695,0.803028
-279.663,1,0.69904,3,7,0,280.432,1.33687,-0.611091,0.839294
-279.373,0.88832,0.69904,1,3,0,281.263,1.32357,-0.627886,0.81256
-279.789,0.961811,0.69904,2,3,0,280.055,1.33586,-0.649669,0.840897
-279.243,0.998014,0.69904,2,3,0,279.845,1.32207,-0.593899,0.821132
-279.495,0.959208,0.69904,3,7,0,279.69,1.32421,-0.659522,0.826153
-279.482,1,0.69904,3,7,0,279.622,1.34227,-0.599392,0.82801
-279.464,0.995791,0.69904,2,7,0,279.663,1.3348,-0.611672,0.834851
-281.405,0.887322,0.69904,2,3,0,281.734,1.27225,-0.491191,0.826041
-281.018,0.955912,0.69904,3,7,0,283.381,1.37438,-0.705668,0.80869
-280.372,0.977019,0.69904,3,7,0,281.801,1.36973,-0.632806,0.816571
-280.679,0.917671,0.69904,2,3,0,281.892,1.35699,-0.628476,0.7971
-280.195,0.902125,0.69904,2,3,0,282.624,1.33747,-0.708391,0.813485
-280.34,0.936021,0.69904,3,7,0,281.707,1.29698,-0.538248,0.805869
-280.173,0.987029,0.69904,3,7,0,281.236,1.34072,-0.634462,0.847938
-285.055,0.706758,0.69904,2,3,0,287.001,1.29399,-0.458004,0.775503
-282.893,0.73097,0.69904,3,7,0,290.203,1.39984,-0.759764,0.818332
-279.626,1,0.69904,2,3,0,283.201,1.35037,-0.606475,0.821831
-280.391,0.967001,0.69904,2,3,0,280.65,1.36053,-0.715269,0.826702
-279.411,0.959901,0.69904,2,3,0,280.971,1.33985,-0.649319,0.828391
-279.484,0.941428,0.69904,2,7,0,280.074,1.32263,-0.6233,0.808824
-280.708,0.8603,0.69904,3,7,0,281.059,1.30761,-0.65602,0.79808
-282.09,0.833726,0.69904,2,3,0,283.105,1.35981,-0.508099,0.833663
-279.632,0.992508,0.69904,3,7,0,282.807,1.34045,-0.632289,0.80715
-281.358,0.886351,0.69904,2,7,0,282.366,1.28527,-0.47399,0.815517
