name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"alpha[36]",2.8,0.0089,0.69,1.6,2.8,3.9,6054,4562,1.00
"alpha[37]",0.33,0.0031,0.25,-0.083,0.33,0.75,6410,4830,1.00
"alpha[38]",1.7,0.0057,0.50,0.94,1.7,2.6,7684,5791,1.00
"alpha[39]",1.6,0.0046,0.35,1.1,1.6,2.2,5920,4461,1.00
"alpha[40]",2.4,0.0051,0.41,1.8,2.4,3.1,6598,4972,1.0
"alpha[41]",1.9,0.0031,0.26,1.4,1.9,2.3,6925,5219,1.00
"alpha[42]",1.4,0.0086,0.69,0.22,1.4,2.5,6416,4835,1.00
"alpha[43]",2.5,0.0045,0.35,2.0,2.5,3.1,6180,4657,1.00
"alpha[44]",1.2,0.0034,0.28,0.74,1.2,1.7,6761,5095,1.00
"alpha[45]",1.4,0.0030,0.24,0.98,1.4,1.8,6423,4840,1.00
"alpha[46]",1.2,0.0045,0.32,0.70,1.2,1.7,5097,3841,1.00
"alpha[47]",1.8,0.0089,0.69,0.62,1.7,2.9,6031,4545,1.00
"alpha[48]",1.1,0.0031,0.25,0.65,1.1,1.5,6448,4859,1.0
"alpha[49]",1.9,0.0029,0.21,1.5,1.9,2.2,5325,4013,1.00
"alpha[50]",2.5,0.0082,0.67,1.4,2.5,3.6,6734,5075,1.00
"alpha[51]",2.2,0.0044,0.36,1.6,2.2,2.8,6510,4906,1.00
"alpha[52]",1.9,0.0049,0.40,1.3,1.9,2.6,6807,5130,1.0
"alpha[53]",1.3,0.0064,0.50,0.44,1.3,2.1,6143,4629,1.00
"alpha[54]",1.4,0.0019,0.16,1.1,1.4,1.7,7014,5286,1.00
"alpha[55]",1.5,0.0039,0.32,0.95,1.5,2.0,6673,5029,1.00
"alpha[56]",1.7,0.0090,0.71,0.56,1.7,2.9,6238,4701,1.00
"alpha[57]",0.73,0.0041,0.31,0.22,0.73,1.2,5786,4360,1.00
"alpha[58]",1.7,0.0049,0.40,1.1,1.8,2.4,6839,5154,1.00
"alpha[59]",2.1,0.0060,0.48,1.3,2.1,2.9,6391,4816,1.00
"alpha[60]",1.3,0.0060,0.51,0.43,1.3,2.1,7393,5571,1.00
"alpha[61]",1.1,0.0016,0.13,0.86,1.1,1.3,6320,4763,1.00
"alpha[62]",1.5,0.0047,0.35,0.95,1.5,2.1,5735,4322,1.00
"alpha[63]",1.3,0.0061,0.49,0.47,1.3,2.1,6413,4833,1.00
"alpha[64]",1.9,0.0026,0.22,1.5,1.9,2.2,7225,5444,1.00
"alpha[65]",1.3,0.0064,0.49,0.49,1.3,2.1,5884,4434,1.00
"alpha[66]",1.6,0.0037,0.28,1.1,1.6,2.0,5940,4476,1.0
"alpha[67]",1.6,0.0031,0.24,1.2,1.6,1.9,5844,4404,1.00
"alpha[68]",1.1,0.0032,0.26,0.66,1.1,1.5,6366,4797,1.00
"alpha[69]",1.2,0.0045,0.35,0.67,1.2,1.8,5857,4414,1.00
"alpha[70]",0.85,0.00084,0.069,0.73,0.85,0.96,6742,5081,1.00
"alpha[71]",1.5,0.0018,0.16,1.3,1.5,1.8,7384,5564,1.00
"alpha[72]",1.6,0.0027,0.23,1.2,1.6,2.0,7230,5448,1.00
"alpha[73]",1.8,0.0064,0.51,0.95,1.8,2.6,6310,4755,1.00
"alpha[74]",0.98,0.0042,0.33,0.44,0.98,1.5,6193,4667,1.0
"alpha[75]",1.3,0.0062,0.49,0.54,1.3,2.1,6295,4743,1.00
"alpha[76]",2.1,0.0053,0.41,1.4,2.1,2.7,6091,4590,1.00
"alpha[77]",2.0,0.0035,0.28,1.5,2.0,2.5,6716,5061,1.00
"alpha[78]",1.4,0.0049,0.40,0.74,1.4,2.0,6623,4991,1.00
"alpha[79]",0.62,0.0048,0.40,-0.049,0.62,1.3,7231,5449,1.0
"alpha[80]",1.4,0.0014,0.11,1.2,1.4,1.5,6557,4941,1.0
"alpha[81]",2.6,0.0097,0.72,1.4,2.6,3.8,5464,4117,1.00
"alpha[82]",2.2,0.0087,0.70,1.1,2.2,3.4,6511,4906,1.00
"alpha[83]",1.9,0.0027,0.22,1.6,1.9,2.3,6601,4974,1.00
"alpha[84]",1.7,0.0024,0.20,1.3,1.7,2.0,7004,5278,1.00
"alpha[85]",1.2,0.0065,0.49,0.37,1.2,2.0,5725,4315,1.0
"beta",0.1,0.1,10.1,-16.4,-0.0,17.0,6117.2,4609.8,1.0
"sigma",0.7,0.0,0.0,0.7,0.7,0.7,4559.4,3435.8,1.0
"y_rep[1]",2.2,0.015,1.0,0.56,2.2,3.9,4833,3642,1.00
"y_rep[2]",2.5,0.014,0.97,0.90,2.5,4.1,4965,3742,1.0
"y_rep[3]",1.4,0.015,0.98,-0.27,1.4,2.9,4608,3472,1.00
"y_rep[4]",1.2,0.013,0.85,-0.20,1.2,2.6,4207,3171,1.0
"y_rep[5]",1.2,0.013,0.85,-0.22,1.2,2.6,4109,3096,1.00
"y_rep[6]",1.8,0.013,0.89,0.34,1.8,3.2,4782,3603,1.00
"y_rep[7]",1.8,0.013,0.88,0.36,1.8,3.2,4471,3369,1.00
"y_rep[8]",1.3,0.013,0.89,-0.14,1.3,2.8,4478,3374,1.00
"y_rep[9]",1.3,0.013,0.87,-0.17,1.3,2.7,4278,3224,1.00
"y_rep[10]",1.3,0.013,0.88,-0.17,1.3,2.7,4831,3640,1.0
"y_rep[11]",1.3,0.013,0.89,-0.21,1.3,2.8,4522,3408,1.00
"y_rep[12]",1.8,0.014,0.99,0.12,1.8,3.4,4818,3631,1.00
"y_rep[13]",2.8,0.014,1.0,1.1,2.8,4.4,4870,3670,1.00
"y_rep[14]",1.2,0.014,1.00,-0.47,1.2,2.8,5319,4008,1.00
"y_rep[15]",0.67,0.013,0.84,-0.71,0.67,2.1,4262,3212,1.00
"y_rep[16]",0.66,0.013,0.87,-0.74,0.65,2.1,4401,3317,1.00
"y_rep[17]",2.6,0.015,1.00,0.96,2.6,4.2,4707,3547,1.00
"y_rep[18]",1.3,0.013,0.87,-0.093,1.3,2.8,4660,3512,1.00
"y_rep[19]",1.3,0.014,0.86,-0.13,1.3,2.7,4047,3050,1.0
"y_rep[20]",1.3,0.013,0.87,-0.17,1.3,2.7,4448,3352,1.00
"y_rep[21]",1.3,0.013,0.86,-0.16,1.3,2.7,4561,3437,1.00
"y_rep[22]",1.7,0.015,1.00,0.055,1.7,3.4,4340,3271,1.00
"y_rep[23]",1.3,0.013,0.87,-0.14,1.3,2.8,4798,3616,1.0
"y_rep[24]",1.3,0.013,0.89,-0.21,1.3,2.7,4395,3312,1.00
"y_rep[25]",1.9,0.012,0.81,0.61,1.9,3.3,4206,3170,1.00
"y_rep[26]",1.9,0.012,0.82,0.57,1.9,3.2,4489,3383,1.0
"y_rep[27]",1.9,0.013,0.82,0.59,1.9,3.3,4074,3070,1.0
"y_rep[28]",1.9,0.014,1.0,0.20,1.9,3.5,5015,3779,1.00
"y_rep[29]",1.1,0.012,0.81,-0.28,1.1,2.4,4319,3255,1.00
"y_rep[30]",1.0,0.012,0.80,-0.30,1.0,2.4,4220,3180,1.00
"y_rep[31]",1.1,0.013,0.82,-0.30,1.1,2.4,3978,2997,1.0
"y_rep[32]",1.8,0.012,0.82,0.46,1.8,3.1,4305,3244,1.00
"y_rep[33]",1.8,0.012,0.81,0.50,1.8,3.2,4415,3327,1.00
"y_rep[34]",1.8,0.012,0.81,0.45,1.8,3.1,4326,3260,1.00
"y_rep[35]",1.5,0.012,0.81,0.19,1.5,2.9,4609,3473,1.00
"y_rep[36]",1.5,0.012,0.82,0.14,1.5,2.8,4433,3340,1.00
"y_rep[37]",1.5,0.012,0.81,0.18,1.5,2.8,4574,3447,1.00
"y_rep[38]",1.5,0.014,1.0,-0.20,1.4,3.1,5398,4068,1.00
"y_rep[39]",0.61,0.012,0.81,-0.72,0.59,2.0,4727,3562,1.00
"y_rep[40]",0.61,0.012,0.81,-0.73,0.60,1.9,4400,3315,1.00
"y_rep[41]",0.62,0.013,0.81,-0.70,0.62,1.9,4152,3129,1.00
"y_rep[42]",2.1,0.012,0.81,0.74,2.1,3.4,4347,3275,1.0
"y_rep[43]",2.1,0.012,0.82,0.72,2.1,3.4,4517,3404,1.0
"y_rep[44]",2.1,0.013,0.83,0.70,2.1,3.4,4291,3234,1.00
"y_rep[45]",0.98,0.012,0.78,-0.31,0.98,2.3,4446,3351,1.0
"y_rep[46]",1.0,0.012,0.78,-0.26,1.0,2.3,4287,3230,1.00
"y_rep[47]",0.97,0.012,0.77,-0.32,0.97,2.2,4422,3332,1.00
"y_rep[48]",0.97,0.012,0.80,-0.36,0.98,2.3,4487,3381,1.00
"y_rep[49]",1.2,0.012,0.79,-0.055,1.2,2.5,4250,3203,1.00
"y_rep[50]",1.2,0.013,0.79,-0.072,1.2,2.5,3540,2668,1.00
"y_rep[51]",1.2,0.012,0.78,-0.040,1.2,2.5,4206,3169,1.00
"y_rep[52]",1.3,0.012,0.78,-0.0022,1.2,2.5,4150,3127,1.00
"y_rep[53]",2.1,0.012,0.85,0.68,2.1,3.5,4639,3496,1.00
"y_rep[54]",2.1,0.013,0.86,0.71,2.1,3.5,4415,3327,1.0
"y_rep[55]",1.7,0.012,0.81,0.37,1.7,3.0,4314,3251,1.0
"y_rep[56]",1.7,0.012,0.80,0.43,1.7,3.1,4349,3278,1.00
"y_rep[57]",1.8,0.012,0.80,0.42,1.8,3.1,4597,3464,1.00
"y_rep[58]",2.2,0.012,0.79,0.88,2.2,3.5,4482,3377,1.0
"y_rep[59]",2.2,0.012,0.79,0.85,2.2,3.5,4297,3238,1.0
"y_rep[60]",2.2,0.012,0.80,0.86,2.2,3.5,4319,3254,1.00
"y_rep[61]",2.2,0.012,0.78,0.89,2.2,3.4,4128,3110,1.00
"y_rep[62]",2.4,0.013,0.82,1.1,2.4,3.8,4310,3248,1.00
"y_rep[63]",2.4,0.013,0.82,1.1,2.4,3.8,4036,3042,1.0
"y_rep[64]",2.4,0.012,0.82,1.1,2.4,3.8,4602,3468,1.0
"y_rep[65]",1.8,0.012,0.86,0.35,1.7,3.2,4947,3728,1.00
"y_rep[66]",1.7,0.013,0.87,0.30,1.7,3.2,4711,3550,1.00
"y_rep[67]",2.1,0.012,0.79,0.79,2.1,3.4,4434,3342,1.0
"y_rep[68]",2.1,0.012,0.79,0.76,2.1,3.4,4241,3196,1.00
"y_rep[69]",2.1,0.012,0.79,0.78,2.1,3.3,4346,3275,1.00
"y_rep[70]",2.0,0.011,0.77,0.79,2.0,3.3,4589,3458,1.00
"y_rep[71]",1.2,0.012,0.78,-0.11,1.2,2.5,4606,3471,1.0
"y_rep[72]",1.2,0.013,0.79,-0.082,1.2,2.5,3608,2719,1.0
"y_rep[73]",1.2,0.012,0.80,-0.088,1.2,2.5,4137,3118,1.0
"y_rep[74]",1.2,0.012,0.78,-0.074,1.2,2.5,4437,3343,1.00
"y_rep[75]",1.9,0.015,1.0,0.22,1.9,3.6,4870,3670,1.00
"y_rep[76]",1.2,0.013,0.88,-0.22,1.2,2.6,4376,3298,1.0
"y_rep[77]",1.2,0.013,0.86,-0.18,1.2,2.6,4198,3163,1.00
"y_rep[78]",1.7,0.012,0.79,0.43,1.8,3.0,4179,3150,1.00
"y_rep[79]",1.7,0.012,0.79,0.48,1.7,3.0,4127,3110,1.00
"y_rep[80]",1.7,0.012,0.78,0.46,1.7,3.0,4171,3143,1.00
"y_rep[81]",1.7,0.012,0.78,0.40,1.7,3.0,4459,3360,1.0
"y_rep[82]",2.1,0.014,0.87,0.65,2.1,3.6,4108,3096,1.0
"y_rep[83]",2.1,0.013,0.87,0.70,2.1,3.6,4327,3261,1.0
"y_rep[84]",1.3,0.012,0.81,-0.021,1.3,2.6,4483,3378,1.0
"y_rep[85]",1.3,0.013,0.82,0.0095,1.3,2.7,4132,3114,1.0
"y_rep[86]",1.3,0.012,0.81,-0.041,1.3,2.7,4615,3478,1.0
"y_rep[87]",0.63,0.012,0.81,-0.71,0.62,2.0,4283,3228,1.00
"y_rep[88]",0.61,0.012,0.80,-0.71,0.61,1.9,4305,3244,1.00
"y_rep[89]",0.62,0.012,0.82,-0.72,0.62,2.0,4414,3326,1.00
"y_rep[90]",1.4,0.012,0.80,0.078,1.4,2.7,4211,3173,1.0
"y_rep[91]",1.4,0.012,0.81,0.085,1.4,2.7,4304,3244,1.00
"y_rep[92]",1.4,0.012,0.81,0.097,1.4,2.7,4232,3189,1.0
"y_rep[93]",1.5,0.012,0.79,0.26,1.5,2.9,4219,3180,1.00
"y_rep[94]",1.5,0.013,0.78,0.25,1.5,2.8,3606,2717,1.0
"y_rep[95]",1.5,0.012,0.80,0.22,1.5,2.9,4228,3186,1.0
"y_rep[96]",1.5,0.012,0.79,0.25,1.5,2.8,4278,3224,1.00
"y_rep[97]",1.2,0.012,0.77,-0.027,1.2,2.5,4093,3084,1.0
"y_rep[98]",1.2,0.012,0.78,-0.095,1.2,2.5,4305,3244,1.00
"y_rep[99]",1.2,0.012,0.77,-0.055,1.2,2.5,4231,3189,1.0
"y_rep[100]",1.2,0.011,0.75,-0.029,1.2,2.5,4436,3343,1.0
"y_rep[101]",1.2,0.012,0.78,-0.071,1.2,2.5,4260,3210,1.0
"y_rep[102]",1.7,0.012,0.78,0.40,1.6,3.0,4258,3209,1.00
"y_rep[103]",1.6,0.012,0.78,0.33,1.6,2.9,4262,3212,1.00
"y_rep[104]",1.6,0.012,0.78,0.39,1.6,2.9,4420,3331,1.00
"y_rep[105]",1.7,0.012,0.78,0.38,1.6,3.0,4260,3210,1.00
"y_rep[106]",2.0,0.012,0.78,0.73,2.0,3.3,4336,3267,1.0
"y_rep[107]",2.0,0.011,0.77,0.74,2.0,3.3,4485,3380,1.00
"y_rep[108]",2.0,0.013,0.78,0.73,2.0,3.3,3786,2853,1.00
"y_rep[109]",2.0,0.012,0.78,0.73,2.0,3.3,4180,3150,1.00
"y_rep[110]",2.0,0.013,0.78,0.73,2.0,3.3,3853,2904,1.0
"y_rep[111]",0.96,0.012,0.85,-0.47,0.97,2.3,4746,3577,1.00
"y_rep[112]",0.96,0.013,0.86,-0.46,0.96,2.4,4574,3447,1.00
"y_rep[113]",1.4,0.013,0.76,0.15,1.4,2.6,3702,2790,1.00
"y_rep[114]",1.4,0.012,0.77,0.13,1.4,2.7,4101,3090,1.00
"y_rep[115]",1.4,0.012,0.77,0.092,1.4,2.7,3982,3000,1.00
"y_rep[116]",1.4,0.012,0.77,0.14,1.4,2.7,4463,3364,1.00
"y_rep[117]",1.4,0.013,0.78,0.053,1.4,2.7,3721,2804,1.0
"y_rep[118]",0.75,0.012,0.77,-0.52,0.75,2.0,4029,3036,1.00
"y_rep[119]",0.75,0.012,0.77,-0.52,0.75,2.0,4139,3119,1.00
"y_rep[120]",0.73,0.012,0.77,-0.52,0.74,2.0,3970,2992,1.0
"y_rep[121]",0.74,0.012,0.78,-0.55,0.74,2.0,4038,3043,1.0
"y_rep[122]",0.73,0.012,0.77,-0.50,0.74,2.0,3846,2898,1.0
"y_rep[123]",1.7,0.012,0.79,0.46,1.7,3.0,4403,3318,1.00
"y_rep[124]",1.7,0.012,0.77,0.45,1.7,3.0,3855,2905,1.00
"y_rep[125]",1.7,0.012,0.79,0.41,1.7,3.0,4335,3266,1.0
"y_rep[126]",1.7,0.012,0.79,0.41,1.7,3.0,4338,3269,1.0
"y_rep[127]",0.60,0.012,0.76,-0.65,0.60,1.9,4262,3212,1.00
"y_rep[128]",0.57,0.012,0.79,-0.74,0.55,1.9,4204,3168,1.0
"y_rep[129]",0.58,0.012,0.77,-0.66,0.58,1.9,4083,3077,1.00
"y_rep[130]",0.58,0.012,0.78,-0.68,0.57,1.8,4203,3167,1.00
"y_rep[131]",0.56,0.012,0.77,-0.72,0.57,1.8,4305,3244,1.00
"y_rep[132]",1.1,0.012,0.76,-0.23,1.1,2.3,4150,3128,1.0
"y_rep[133]",1.0,0.012,0.74,-0.18,1.0,2.2,4029,3036,1.0
"y_rep[134]",1.0,0.012,0.76,-0.25,1.0,2.3,3806,2868,1.00
"y_rep[135]",1.0,0.012,0.77,-0.24,1.0,2.3,3975,2995,1.00
"y_rep[136]",1.0,0.012,0.75,-0.24,1.0,2.2,4209,3172,1.00
"y_rep[137]",1.0,0.012,0.75,-0.20,1.0,2.3,4017,3027,1.0
"y_rep[138]",1.8,0.012,0.80,0.41,1.8,3.1,4166,3140,1.00
"y_rep[139]",1.8,0.012,0.81,0.43,1.8,3.1,4502,3393,1.00
"y_rep[140]",1.8,0.012,0.79,0.45,1.8,3.1,4489,3383,1.00
"y_rep[141]",2.0,0.012,0.76,0.70,2.0,3.2,3821,2879,1.00
"y_rep[142]",2.0,0.012,0.76,0.74,2.0,3.2,4088,3081,1.00
"y_rep[143]",2.0,0.012,0.78,0.69,2.0,3.3,4318,3254,1.00
"y_rep[144]",2.0,0.012,0.76,0.76,2.0,3.3,3864,2912,1.0
"y_rep[145]",2.0,0.011,0.75,0.78,2.0,3.2,4414,3326,1.00
"y_rep[146]",2.0,0.012,0.77,0.72,2.0,3.3,4366,3290,1.00
"y_rep[147]",1.2,0.012,0.76,-0.049,1.2,2.5,4248,3201,1.00
"y_rep[148]",1.2,0.011,0.76,-0.031,1.2,2.5,4542,3423,1.00
"y_rep[149]",1.2,0.012,0.77,-0.042,1.2,2.5,4477,3374,1.00
"y_rep[150]",1.2,0.011,0.75,-0.00083,1.2,2.4,4376,3297,1.00
"y_rep[151]",1.2,0.012,0.77,-0.075,1.2,2.5,4180,3150,1.00
"y_rep[152]",1.2,0.012,0.75,-0.029,1.2,2.4,4169,3142,1.0
"y_rep[153]",0.29,0.012,0.82,-1.1,0.29,1.7,4537,3419,1.0
"y_rep[154]",0.30,0.013,0.82,-1.1,0.30,1.7,4290,3233,1.00
"y_rep[155]",0.28,0.012,0.81,-1.0,0.28,1.6,4487,3382,1.00
"y_rep[156]",1.7,0.013,0.81,0.35,1.7,3.0,4232,3189,1.0
"y_rep[157]",1.7,0.012,0.80,0.41,1.7,3.0,4413,3325,1.00
"y_rep[158]",1.7,0.012,0.81,0.37,1.7,3.1,4699,3541,1.00
"y_rep[159]",1.1,0.011,0.75,-0.12,1.1,2.4,4342,3272,1.0
"y_rep[160]",1.1,0.011,0.76,-0.18,1.1,2.3,4346,3275,1.00
"y_rep[161]",1.1,0.011,0.76,-0.15,1.1,2.3,4659,3511,1.00
"y_rep[162]",1.1,0.012,0.76,-0.15,1.1,2.4,4065,3064,1.00
"y_rep[163]",1.1,0.012,0.76,-0.15,1.1,2.4,4143,3122,1.00
"y_rep[164]",1.1,0.012,0.75,-0.12,1.1,2.3,3983,3002,1.0
"y_rep[165]",1.1,0.012,0.76,-0.14,1.1,2.3,4032,3039,1.00
"y_rep[166]",1.1,0.011,0.74,-0.14,1.1,2.3,4151,3128,1.00
"y_rep[167]",1.5,0.013,0.77,0.18,1.5,2.7,3716,2800,1.00
"y_rep[168]",1.5,0.013,0.79,0.18,1.5,2.7,3735,2815,1.00
"y_rep[169]",1.5,0.012,0.78,0.19,1.5,2.8,4578,3450,1.0
"y_rep[170]",1.5,0.012,0.78,0.22,1.5,2.8,4108,3096,1.0
"y_rep[171]",1.5,0.012,0.78,0.19,1.5,2.7,4023,3032,1.0
"y_rep[172]",1.9,0.012,0.74,0.64,1.9,3.1,3924,2957,1.0
"y_rep[173]",1.9,0.012,0.75,0.66,1.9,3.1,3898,2938,1.0
"y_rep[174]",1.9,0.011,0.75,0.64,1.9,3.1,4397,3314,1.0
"y_rep[175]",1.9,0.012,0.77,0.60,1.9,3.1,3956,2981,1.0
"y_rep[176]",1.9,0.011,0.75,0.64,1.9,3.1,4309,3247,1.00
"y_rep[177]",1.9,0.012,0.74,0.63,1.9,3.1,4088,3081,1.0
"y_rep[178]",1.9,0.012,0.76,0.63,1.8,3.1,4043,3047,1.0
"y_rep[179]",1.1,0.012,0.76,-0.15,1.1,2.3,4200,3165,1.0
"y_rep[180]",1.1,0.012,0.74,-0.13,1.1,2.3,3895,2935,1.00
"y_rep[181]",1.1,0.012,0.76,-0.21,1.1,2.3,4173,3145,1.00
"y_rep[182]",1.1,0.012,0.77,-0.20,1.1,2.3,4330,3263,1.00
"y_rep[183]",1.1,0.011,0.74,-0.13,1.1,2.3,4448,3352,1.00
"y_rep[184]",1.1,0.011,0.73,-0.14,1.1,2.3,4082,3076,1.0
"y_rep[185]",1.1,0.011,0.74,-0.16,1.1,2.3,4302,3242,1.0
"y_rep[186]",1.1,0.012,0.76,-0.21,1.0,2.3,4192,3159,1.00
"y_rep[187]",2.6,0.012,0.78,1.3,2.6,3.8,4459,3360,1.00
"y_rep[188]",2.6,0.013,0.78,1.3,2.5,3.9,3823,2881,1.0
"y_rep[189]",2.6,0.013,0.80,1.2,2.6,3.9,4075,3071,1.00
"y_rep[190]",2.6,0.012,0.79,1.3,2.6,3.8,4233,3190,1.00
"y_rep[191]",0.34,0.012,0.75,-0.87,0.34,1.6,3821,2879,1.00
"y_rep[192]",0.34,0.012,0.74,-0.87,0.33,1.5,3964,2988,1.0
"y_rep[193]",0.34,0.012,0.75,-0.90,0.34,1.6,4137,3117,1.00
"y_rep[194]",0.36,0.012,0.75,-0.85,0.34,1.6,4084,3078,1.00
"y_rep[195]",0.32,0.012,0.75,-0.92,0.32,1.6,4170,3142,1.00
"y_rep[196]",0.33,0.011,0.76,-0.90,0.33,1.6,4429,3338,1.00
"y_rep[197]",0.33,0.012,0.74,-0.87,0.32,1.6,4062,3061,1.00
"y_rep[198]",0.34,0.012,0.75,-0.89,0.36,1.6,4018,3028,1.00
"y_rep[199]",2.2,0.012,0.78,0.87,2.2,3.4,3990,3007,1.00
"y_rep[200]",2.2,0.012,0.77,0.90,2.1,3.5,4096,3087,1.0
"y_rep[201]",2.2,0.012,0.77,0.91,2.1,3.4,4291,3234,1.0
"y_rep[202]",2.1,0.011,0.76,0.92,2.1,3.4,4365,3289,1.0
"y_rep[203]",2.1,0.012,0.77,0.84,2.1,3.4,4029,3036,1.0
"y_rep[204]",2.1,0.011,0.75,0.90,2.1,3.4,4526,3411,1.0
"y_rep[205]",2.1,0.012,0.76,0.91,2.1,3.4,4372,3295,1.00
"y_rep[206]",1.7,0.011,0.74,0.51,1.7,2.9,4253,3205,1.0
"y_rep[207]",1.7,0.012,0.75,0.48,1.7,2.9,3671,2766,1.00
"y_rep[208]",1.7,0.011,0.75,0.48,1.7,2.9,4370,3293,1.00
"y_rep[209]",1.7,0.012,0.75,0.44,1.7,2.9,4038,3043,1.00
"y_rep[210]",1.7,0.012,0.75,0.44,1.7,2.9,3875,2920,1.0
"y_rep[211]",1.7,0.012,0.76,0.43,1.7,2.9,4064,3063,1.00
"y_rep[212]",1.7,0.012,0.74,0.47,1.7,2.9,3831,2887,1.00
"y_rep[213]",1.7,0.011,0.75,0.46,1.7,2.9,4338,3269,1.0
"y_rep[214]",1.6,0.011,0.74,0.33,1.6,2.8,4234,3191,1.00
"y_rep[215]",1.6,0.012,0.74,0.35,1.6,2.8,3817,2877,1.00
"y_rep[216]",1.6,0.012,0.74,0.39,1.6,2.8,3958,2983,1.0
"y_rep[217]",1.6,0.011,0.73,0.36,1.6,2.7,4115,3101,1.00
"y_rep[218]",1.6,0.011,0.74,0.36,1.6,2.8,4219,3179,1.00
"y_rep[219]",1.6,0.012,0.74,0.36,1.6,2.8,3948,2975,1.00
"y_rep[220]",1.6,0.012,0.75,0.35,1.6,2.8,4181,3150,1.0
"y_rep[221]",1.6,0.011,0.73,0.40,1.6,2.8,4148,3126,1.00
"y_rep[222]",1.6,0.011,0.74,0.32,1.6,2.8,4178,3149,1.0
"y_rep[223]",1.6,0.011,0.75,0.32,1.6,2.8,4407,3321,1.00
"y_rep[224]",0.86,0.012,0.74,-0.34,0.86,2.1,3931,2963,1.00
"y_rep[225]",0.82,0.012,0.75,-0.42,0.82,2.0,4074,3070,1.0
"y_rep[226]",0.86,0.012,0.75,-0.39,0.85,2.1,4099,3089,1.00
